Atomic Mass Adjustment data 
"The Ame2016 atomic mass evaluation (I)"   by W.J.Huang, G.Audi, M.Wang, F.G.Kondev, S.Naimi and X.Xu
"The Ame2016 atomic mass evaluation (II)"   by W.J.Huang, G.Audi, M.Wang, F.G.Kondev, S.Naimi and X.Xu

NUM	ELEMENT	N	Z	MASS_EXCESS	ME_unc
2418	Am	147	95	55468.072	1.119
2419	Cm	146	96	54803.764	1.142
2420	Cf	144	98	59386.966	12.892
2421	Pu	149	94	57754.602	2.542
2422	Am	148	95	57175.046	1.388
2423	Cm	147	96	57181.998	1.496
2424	Bk	146	97	58689.693	4.524
2425	Pu	150	94	59806.028	2.346
2426	Am	149	95	59879.196	1.492
2427	Cm	148	96	58451.896	1.107
2428	Bk	147	97	60713.885	14.399
2429	Cf	146	98	61478.179	2.618
2430	Pu	151	94	63178.179	13.62
2431	Am	150	95	61900.469	1.887
2432	Cm	149	96	61004.58	1.15
2433	Bk	148	97	61813.836	1.793
2434	Cf	147	98	63385.21	2.428
2435	Pu	152	94	65394.801	14.985
2436	Cm	150	96	62616.967	1.526
2437	Bk	149	97	63966.967	60.019
2438	Cf	148	98	64090.292	1.515
2439	Fm	146	100	70188.833	15.333
2440	Cm	151	96	65533.143	3.797
2441	Bk	150	97	65489.562	5.189
2442	Cf	149	98	66103.903	15.334
2443	Es	148	99	68578.388	19.441
2444	Cm	152	96	67392.755	2.358
2445	Cf	150	98	67238.012	5.121
2446	Fm	148	100	71897.857	8.497
2447	Cm	153	96	70750.702	2.371
2448	Bk	152	97	69846.384	1.249
2449	Cf	151	98	69722.784	1.183
2450	Fm	149	100	73519.188	6.212
2451	Cm	154	96	72989.594	10.274
2452	Bk	153	97	72949.978	3.719
2453	Cf	152	98	71170.391	1.538
2454	Fm	150	100	74072.243	7.888
2455	Cm	155	96	76648.018	22.698
2456	Bk	154	97	75228.018	10.734
2457	Cf	153	98	74135.018	3.901
2458	Es	152	99	74512.277	5.994
2459	Fm	151	100	75953.919	15.203
2460	Md	150	101	78966.744	18.919
2461	Cf	154	98	76034.617	2.358
2462	Es	153	99	77294.617	50.056
2463	Fm	152	100	76815.627	5.498
2464	No	150	102	82871.427	9.292
2465	Cf	155	98	79301.567	4.257
2466	Es	154	99	79010.538	1.25
2467	Fm	153	100	79345.74	2.932
2468	No	151	102	84358.735	6.912
2469	Cf	156	98	81341.401	11.462
2470	Es	155	99	81990.594	4.01
2471	Fm	154	100	80902.794	2.414
2472	No	152	102	84723.347	9.658
2473	Es	156	99	84089.274	10.817
2474	Fm	155	100	83799.654	4.291
2475	Md	154	101	84843.07	6.553
2476	No	153	102	86807.234	14.904
2477	Lr	152	103	89947.3	17.698
2478	Fm	156	100	85486.817	5.6
2479	No	154	102	87822.062	7.743
2480	Lr	153	103	91746.598	82.903
2481	Rf	152	104	94222.049	17.848
2482	Fm	157	100	88590.033	4.486
2483	Md	156	101	88993.053	1.601
2484	No	155	102	90247.256	6.678
2485	Rf	153	104	95866.427	10.817
2486	Md	157	101	91686.792	4.419
2487	Rf	154	104	96341.036	31.967
2488	No	157	102	94078.569	6.589
2489	Db	154	105	101991.016	53.04
2490	Sg	154	106	106547.552	20.536
2491	Rf	157	104	101318.594	50.444
2492	Sg	155	106	108005.043	18.494
2493	Sg	156	106	108365.771	35.411
2494	Hs	156	108	119563.222	28.881
2495	Hs	157	108	120900.283	23.958
2496	Hs	158	108	121136.373	38.695
2497	Ds	159	110	134834.709	31.403
2498	Ds	160	110	134678.282	48.011
